accession_id	genome_size	tax_id	tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom
NC_010739.1	7582	461322	Ursus maritimus papillomavirus 1	Omegapapillomavirus 1	Omegapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_010797.1	2736	520848	Urochloa streak virus		Mastrevirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010806.1	5808	474454	Rose spring dwarf-associated virus		Luteovirus	Luteoviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010808.1	44342	487152	Staphylococcus virus phiMR25		Phietavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010820.1	13111	11644	Simian foamy virus (TYPE 3 / STRAIN LK3)	African green monkey simian foamy virus	Spumavirus	Retroviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_010946.1	2724	420684	Pumpkin yellow mosaic Malaysia virus	Pumpkin yellow mosaic virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010949.1	2561	55216	Tomato yellow vein streak virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010950.1	2569	55216	Tomato yellow vein streak virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010947.1	2755	452758	Allamanda leaf curl virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010833.1	2708	536086	Tomato mild mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010834.1	2663	536086	Tomato mild mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010984.1	3567	483537	Alternaria alternata virus 1								Viruses
NC_010989.1	2794	483537	Alternaria alternata virus 1								Viruses
NC_010990.1	2576	483537	Alternaria alternata virus 1								Viruses
NC_010991.1	1420	483537	Alternaria alternata virus 1								Viruses
NC_011021.1	51478	540067	Mycobacterium virus lockley		Fromanvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011040.1	39816	532074	Escherichia phage BA14	Escherichia virus BA14	Berlinvirus	Autographiviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011039.1	70110	543153	Mycobacterium phage Predator	Mycobacterium virus Predator	Barnyardvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011051.1	8032	470214	Capreolus capreolus papillomavirus 1	Deltapapillomavirus 5	Deltapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_011057.1	68090	546184	Mycobacterium phage Phaedrus		Pipefishvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011068.1	2814	186786	Ourmia melon virus		Ourmiavirus	Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Viruses
NC_011069.1	1064	186786	Ourmia melon virus		Ourmiavirus	Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Viruses
NC_011070.1	974	186786	Ourmia melon virus		Ourmiavirus	Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Viruses
NC_011086.1	6290	547467	Diascia yellow mottle virus		Tymovirus	Tymoviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_011109.1	8089	706524	Delphinus delphis papillomavirus	Upsilonpapillomavirus 1	Upsilonpapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_011142.1	47453	551895	Iodobacter phage PhiPLPE	Iodobacter virus PLPE	Iodovirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011183.1	154641	39420	Feldmannia species virus		Phaeovirus	Phycodnaviridae	Algavirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_010246.1	5193	441999	Magnaporthe oryzae virus 2		Victorivirus	Totiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010255.1	7102	192848	Bear Canyon mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010256.1	3339	192848	Bear Canyon mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010277.2	5387	493803	Merkel cell polyomavirus	Human polyomavirus 5	Alphapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_010305.1	8412	478550	Ligustrum necrotic ringspot virus		Carlavirus	Betaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010313.1	2803	501328	Tomato leaf curl Ghana virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010329.1	7326	337054	Human papillomavirus type 88	Gammapapillomavirus 5	Gammapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_010349.1	1793	425010	Botryotinia fuckeliana partitivirus 1			Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010350.1	1566	425010	Botryotinia fuckeliana partitivirus 1			Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010351.1	1383	425010	Botryotinia fuckeliana partitivirus 1			Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010434.1	7674	686945	Lolium latent virus USA/US1	Lolium latent virus	Lolavirus	Alphaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010439.1	2723	507474	Tomato leaf curl Cebu virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010495.1	45051	424716	Salmonella phage Vi II-E1			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010538.1	8550	142843	Hop mosaic virus		Carlavirus	Betaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010560.1	8965	267970	Bean yellow disorder virus		Crinivirus	Closteroviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010561.1	8530	267970	Bean yellow disorder virus		Crinivirus	Closteroviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010415.1	7351	1248332	Enterovirus J112	Enterovirus J	Enterovirus	Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_013695.1	7379	1248332	Enterovirus J112	Enterovirus J	Enterovirus	Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010670.1	4123	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010661.1	883	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010669.1	3905	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010668.1	3713	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010667.1	3303	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010666.1	2797	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010665.1	1930	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010662.1	1830	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010664.1	1268	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010663.1	1066	10983	Euxoa scandens cypovirus 5	Cypovirus 5	Cypovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010711.1	3674	180822	Chronic bee paralysis virus								Viruses
NC_010712.1	2305	180822	Chronic bee paralysis virus								Viruses
NC_010713.1	2767	390438	Clerodendron golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010714.1	2757	390438	Clerodendron golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010735.1	9742	515446	Verbena virus Y		Potyvirus	Potyviridae	Patatavirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010760.1	7174	45221	Latino mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010758.1	3474	45221	Latino mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010799.1	2740	497863	Oat dwarf virus		Mastrevirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010810.1	7961	511755	Human TMEV-like cardiovirus	Cardiovirus B	Cardiovirus	Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010807.1	38815	529929	Salmonella phage phiSG-JL2	Salmonella virus SG-JL2	Teetrevirus	Autographiviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010821.1	316674	198110	Pseudomonas phage 201phi2-1		Phikzvirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010945.1	39136	537874	Streptococcus phage PH15			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010955.1	10207	204873	Xenopus laevis endogenous retrovirus Xen1			Retroviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_010840.1	2756	526476	Tomato leaf curl Palampur virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010839.1	2725	526476	Tomato leaf curl Palampur virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_011022.1	51621	540064	Mycobacterium phage DD5		Fromanvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011023.1	52892	540068	Mycobacterium virus Pukovnik		Fromanvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011042.1	39252	532075	Escherichia phage EcoDS1	Escherichia virus EcoDS1	Kayfunavirus	Autographiviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011041.1	137947	399183	Escherichia phage V5	Escherichia virus V5	Vequintavirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011052.2	2780	652717	Sweet potato leaf curl Spain virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_011055.1	76312	546185	Mycobacterium virus Porky		Kostyavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011065.1	2769	544686	Epirus cherry virus		Ourmiavirus	Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Viruses
NC_011066.1	1028	544686	Epirus cherry virus		Ourmiavirus	Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Viruses
NC_011067.1	960	544686	Epirus cherry virus		Ourmiavirus	Botourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Viruses
NC_011097.1	9205	549205	Cycad leaf necrosis virus		Badnavirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_011108.1	4198	479060	Cocksfoot mild mosaic virus		Panicovirus	Tombusviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_011104.1	39989	496874	Lactobacillus phage Lrm1			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011165.1	64427	549445	Pseudomonas phage LBL3	Pseudomonas virus LBL3	Pbunavirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011181.1	2660	555460	Okra mottle virus - [Brazil:okra]	Okra mottle virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_011182.1	2653	555460	Okra mottle virus - [Brazil:okra]	Okra mottle virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_009988.1	27165	693998	Rhinolophus bat coronavirus HKU2		Alphacoronavirus	Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010126.1	1371	391090	Tomato yellow leaf curl betasatellite		Betasatellite	Tolecusatellitidae					Viruses
NC_010155.1	40449	346881	Acidianus filamentous virus 3		Betalipothrixvirus	Lipothrixviridae	Ligamenvirales				Viruses
NC_010226.1	7742	464980	Canis familiaris papillomavirus 4	Chipapillomavirus 2	Chipapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_010239.1	1358	504341	Radish leaf curl virus betasatellite[India:Pratapgarh3:2008]	Radish leaf curl betasatellite	Betasatellite	Tolecusatellitidae					Viruses
NC_010276.1	156179	490711	Orgyia leucostigma nucleopolyhedrovirus		Alphabaculovirus	Baculoviridae					Viruses
NC_010297.1	1338	497865	Cardiospermum yellow leaf curl betasatellite		Betasatellite	Tolecusatellitidae					Viruses
NC_010307.1	2725	498805	Emilia yellow vein virus-[Fz1]	Emilia yellow vein virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010324.1	77554	490103	Escherichia virus phiEco32		Kuravirus	Podoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010326.1	43548	484896	Pseudomonas phage LUZ19	Pseudomonas virus LUZ19	Phikmvvirus	Autographiviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010342.1	39245	499235	Halomonas virus HAP1		Hapunavirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010356.1	190032	379529	Glossina pallidipes salivary gland hypertrophy virus	Glossina hytrosavirus	Glossinavirus	Hytrosaviridae					Viruses
NC_010435.1	2740	508750	Kenaf leaf curl virus-[India:Bahraich:2007]	Kenaf leaf curl virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010521.1	9836	397544	Squash vein yellowing virus		Ipomovirus	Potyviridae	Patatavirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010563.1	7107	499556	Chapare mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010562.1	3357	499556	Chapare mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010437.1	28326	393767	Bat coronavirus 1A	Miniopterus bat coronavirus 1	Alphacoronavirus	Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010584.1	3949	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010593.1	912	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010594.1	772	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010585.1	3876	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010586.1	3709	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010587.1	2293	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010588.1	2237	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010589.1	2042	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010590.1	1356	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010591.1	1305	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010592.1	1125	465447	American grass carp reovirus	Aquareovirus G	Aquareovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010619.1	1196	519016	Pepper leaf curl Yunnan virus satellite DNA beta		Betasatellite	Tolecusatellitidae					Viruses
NC_010702.1	7141	45223	Tamiami mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010701.1	3533	45223	Tamiami mammarenavirus		Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010709.1	6064	328061	Radish mosaic virus		Comovirus	Secoviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010710.1	4020	328061	Radish mosaic virus		Comovirus	Secoviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010737.1	7713	515320	Lamium leaf distortion virus		Caulimovirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_010755.1	2207	674982	Ceratocystis resinifera virus 1		Betapartitivirus	Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010754.1	2305	674982	Ceratocystis resinifera virus 1		Betapartitivirus	Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010743.1	4127	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010752.1	975	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010753.1	732	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010744.1	3846	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010745.1	3258	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010746.1	2269	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010747.1	2056	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010748.1	2023	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010749.1	1539	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010750.1	1536	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010751.1	1072	311228	Mycoreovirus 1		Mycoreovirus	Reoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Viruses
NC_010791.1	2738	486809	Ramie mosaic virus	Tomato leaf curl Hsinchu virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010792.1	2708	486809	Ramie mosaic virus	Tomato leaf curl Hsinchu virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010809.1	5674	471717	Melon aphid-borne yellows virus		Polerovirus	Luteoviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010811.2	231255	1980924	Ralstonia phage phiRSL1	Ralstonia virus RSL1	Mieseafarmvirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010818.1	2737	508748	Mesta yellow vein mosaic Bahraich virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_014846.1	1385	508748	Mesta yellow vein mosaic Bahraich virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010944.1	6381	402399	Brugmansia mild mottle virus		Tobamovirus	Virgaviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010952.1	2605	51676	Macroptilium golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010953.1	2553	51676	Macroptilium golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010832.1	7212	447171	Lettuce virus X		Potexvirus	Alphaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010835.1	2560	536084	Tomato common mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010836.1	2498	536084	Tomato common mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010987.1	7229	470166	Tomato marchitez virus		Torradovirus	Secoviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010988.1	4906	470166	Tomato marchitez virus		Torradovirus	Secoviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_011019.1	53572	540066	Mycobacterium virus KBG		Fromanvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011046.1	29305	494269	Lactococcus virus Bibb29		Skunavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011044.1	69904	543152	Mycobacterium phage Nigel	Mycobacterium virus Nigel	Coopervirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011050.1	8305	436911	Steller sea lion vesivirus		Vesivirus	Caliciviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_011056.1	75811	546183	Mycobacterium virus Kostya		Kostyavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_011062.1	6539	36403	Potato virus T		Tepovirus	Betaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010328.1	1339	488255	Malachra yellow vein mosaic virus-associated satellite DNA beta		Betasatellite	Tolecusatellitidae					Viruses
NC_010325.1	45625	484895	Pseudomonas virus LUZ24		Bruynoghevirus	Podoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010346.1	1749	474453	Rosa multiflora cryptic virus	Rose cryptic virus 1		Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010347.1	1485	474453	Rosa multiflora cryptic virus	Rose cryptic virus 1		Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010348.1	1446	474453	Rosa multiflora cryptic virus	Rose cryptic virus 1		Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010354.1	7556	693066	Bovine rhinitis B virus		Aphthovirus	Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010417.1	2845	501371	Beet curly top Iran virus-[K]	Beet curly top Iran virus	Becurtovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010441.2	2750	507475	Tomato leaf curl Cotabato virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010491.1	8919	460926	Tomato zonate spot virus	Tomato zonate spot orthotospovirus	Orthotospovirus	Tospoviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010490.1	4945	460926	Tomato zonate spot virus	Tomato zonate spot orthotospovirus	Orthotospovirus	Tospoviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010489.1	3279	460926	Tomato zonate spot virus	Tomato zonate spot orthotospovirus	Orthotospovirus	Tospoviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010537.1	41172	512792	Acidianus filamentous virus 9		Betalipothrixvirus	Lipothrixviridae	Ligamenvirales				Viruses
NC_010438.1	28773	694001	Miniopterus bat coronavirus HKU8		Alphacoronavirus	Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Viruses
NC_010576.1	55597	475178	Lactococcus phage 1706			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_010618.1	2747	519015	Pepper leaf curl Yunnan virus-[YN323]	Pepper leaf curl Yunnan virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_010671.1	124279	523909	Musca domestica salivary gland hypertrophy virus	Musca hytrosavirus	Muscavirus	Hytrosaviridae					Viruses
NC_010707.1	6581	1980493	Thottopalayam virus	Thottopalayam thottimvirus	Thottimvirus	Hantaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Orthornavirae	Viruses
NC_010732.1	5920	192203	Tobacco vein distorting virus		Polerovirus	Luteoviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Orthornavirae	Viruses
NC_010736.1	9842	515575	Algerian watermelon mosaic virus		Potyvirus	Potyviridae	Patatavirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Viruses
